network,eta,condition,target,rawBias,cueDistance,biasRatio,goRms,convergence
2,0.25,2,4,0.992960753975827,2.73311842834122,0.363306889185359,2.35054739645932,-0.766149014130816
2,0.25,2,5,1.13996040906966,2.80880729746942,0.405852124528692,2.45183137624137,-0.964666159283627
2,0.25,2,6,1.13103057472589,2.86789380473941,0.394376727916765,2.42812142074953,-0.931862852343848
2,0.25,2,7,1.39131766103573,3.10442355410141,0.448172627474621,2.41495385485662,-0.823445843194395
2,0.25,2,8,1.06901406740403,2.75711351381127,0.387729435893371,2.35999107893117,-0.786222466326498
2,0,1,1,2.32695954191089,2.51229494259049,0.926228645555249,2.95540849841438,-1.34371806592534
2,0,1,2,2.10240457912734,3.1573697227357,0.66587215427711,3.06517505991794,-1.36091170628626
2,0,1,3,2.31138647239436,3.16400530140165,0.730525473952404,2.97515433549158,-1.36402073320275
2,0,1,4,2.29861626861614,2.2723426009664,1.0115623707616,2.93921939320926,-1.25142529089705
2,0,1,5,1.86037779069914,2.48081446200636,0.749906056736933,3.01949604561658,-1.38633595668687
2,0,1,6,2.01545347845387,2.75429593248478,0.731749066860669,3.02072326562345,-1.47726038196877
2,0,1,7,2.82655552758442,3.42975023039224,0.824128679265712,2.98425742741944,-1.23640013054943
2,0,1,8,1.45264087656302,2.83588358523589,0.512235722272141,2.89449143608164,-1.13131444565567
2,0,2,1,2.06133892911995,2.80925618556415,0.733766802654914,3.31019256107109,-1.5825656777436
2,0,2,2,2.69773199341083,2.92703994786179,0.921658754736685,3.37193330808159,-1.54883452509682
2,0,2,3,2.93031893729708,2.99722730643943,0.977676578283334,3.32764552363996,-1.62990616599399
2,0,2,4,1.91938221676281,2.73311842834122,0.702268221113169,3.18984849706309,-1.38332383681759
2,0,2,5,2.14231361033193,2.80880729746942,0.762712918135051,3.36511987035577,-1.66626612239387
2,0,2,6,2.16337145065695,2.86789380473941,0.754341547473556,3.28131954043744,-1.58011105520087
2,0,2,7,2.65619319039576,3.10442355410141,0.855615589852915,3.28896107572653,-1.4251240452334
2,0,2,8,2.03855579428639,2.75711351381127,0.739380436849847,3.20423315416932,-1.36543854599325
3,1,1,1,0.244375526347471,2.65585373419947,0.0920139250142597,1.30229001606058,-0.107017556478697
3,1,1,2,0.241358133864275,2.8873008879054,0.0835929967934062,1.25910500980535,-0.0342005533185858
3,1,1,3,0.272080895399376,2.91180688061971,0.0934405702556309,1.30486076933624,-0.046270893827816
3,1,1,4,0.273646706136202,2.37263139214376,0.115334690016451,1.29962280103546,-0.0582822823409546
3,1,1,5,0.277989014856797,2.57145139864698,0.108105879427885,1.28980942003214,-0.0713709346651824
